Index	Distance (m)	Current (A)	Distance (m)	N/A
396	3.96835E-05	1.4763E-09	3.96835E-05	396
397	3.97825E-05	1.4762E-09	3.97825E-05	397
398	0.000039882	1.4761E-09	0.000039882	398
399	0.000039981	1.4760E-09	0.000039981	399
400	0.00004008	1.4759E-09	0.00004008	400
401	4.01795E-05	1.4758E-09	4.01795E-05	401
402	4.02785E-05	1.4757E-09	4.02785E-05	402
403	0.000040378	1.4756E-09	0.000040378	403
404	0.000040477	1.4755E-09	0.000040477	404
405	0.000040576	1.4754E-09	0.000040576	405
406	4.06755E-05	1.4753E-09	4.06755E-05	406
407	4.07745E-05	1.4752E-09	4.07745E-05	407
408	4.08735E-05	1.4751E-09	4.08735E-05	408
409	0.000040973	1.4751E-09	0.000040973	409
410	0.000041072	1.4750E-09	0.000041072	410
411	4.11715E-05	1.4749E-09	4.11715E-05	411
412	4.12705E-05	1.4748E-09	4.12705E-05	412
413	4.13695E-05	1.4747E-09	4.13695E-05	413
414	0.000041469	1.4746E-09	0.000041469	414
415	0.000041568	1.4746E-09	0.000041568	415
416	4.16675E-05	1.4745E-09	4.16675E-05	416
417	4.17665E-05	1.4744E-09	4.17665E-05	417
418	4.18655E-05	1.4744E-09	4.18655E-05	418
419	0.000041965	1.4742E-09	0.000041965	419
420	0.000042064	1.4741E-09	0.000042064	420
421	4.21635E-05	1.4740E-09	4.21635E-05	421
422	4.22625E-05	1.4739E-09	4.22625E-05	422
423	4.23615E-05	1.4739E-09	4.23615E-05	423
424	0.000042461	1.4738E-09	0.000042461	424
425	0.00004256	1.4737E-09	0.00004256	425
426	4.26595E-05	1.4736E-09	4.26595E-05	426
427	4.27585E-05	1.4736E-09	4.27585E-05	427
428	4.28575E-05	1.4735E-09	4.28575E-05	428
429	0.000042957	1.4733E-09	0.000042957	429
430	0.000043056	1.4733E-09	0.000043056	430
431	4.31555E-05	1.4732E-09	4.31555E-05	431
432	4.32545E-05	1.4732E-09	4.32545E-05	432
433	4.33535E-05	1.4730E-09	4.33535E-05	433
434	0.000043453	1.4730E-09	0.000043453	434
435	0.000043552	1.4729E-09	0.000043552	435
436	4.36515E-05	1.4728E-09	4.36515E-05	436
437	4.37505E-05	1.4727E-09	4.37505E-05	437
438	4.38495E-05	1.4727E-09	4.38495E-05	438
439	0.000043949	1.4726E-09	0.000043949	439
440	0.000044048	1.4725E-09	0.000044048	440
441	4.41475E-05	1.4724E-09	4.41475E-05	441
442	4.42465E-05	1.4723E-09	4.42465E-05	442
443	4.43455E-05	1.4722E-09	4.43455E-05	443
444	0.000044445	1.4722E-09	0.000044445	444
445	0.000044544	1.4722E-09	0.000044544	445
446	4.46435E-05	1.4720E-09	4.46435E-05	446
447	4.47425E-05	1.4720E-09	4.47425E-05	447
448	4.48415E-05	1.4719E-09	4.48415E-05	448
449	0.000044941	1.4718E-09	0.000044941	449
450	0.00004504	1.4717E-09	0.00004504	450
451	4.51395E-05	1.4717E-09	4.51395E-05	451
452	4.52385E-05	1.4716E-09	4.52385E-05	452
453	4.53375E-05	1.4716E-09	4.53375E-05	453
454	0.000045437	1.4715E-09	0.000045437	454
455	0.000045536	1.4714E-09	0.000045536	455
456	4.56355E-05	1.4713E-09	4.56355E-05	456
457	4.57345E-05	1.4712E-09	4.57345E-05	457
458	4.58335E-05	1.4712E-09	4.58335E-05	458
459	0.000045933	1.4711E-09	0.000045933	459
460	0.000046032	1.4710E-09	0.000046032	460
461	4.61315E-05	1.4710E-09	4.61315E-05	461
462	4.62305E-05	1.4709E-09	4.62305E-05	462
463	4.63295E-05	1.4708E-09	4.63295E-05	463
464	0.000046429	1.4708E-09	0.000046429	464
465	0.000046528	1.4707E-09	0.000046528	465
466	4.66275E-05	1.4706E-09	4.66275E-05	466
467	4.67265E-05	1.4705E-09	4.67265E-05	467
468	4.68255E-05	1.4705E-09	4.68255E-05	468
469	0.000046925	1.4704E-09	0.000046925	469
470	0.000047024	1.4703E-09	0.000047024	470
471	0.000047123	1.4703E-09	0.000047123	471
472	4.72225E-05	1.4702E-09	4.72225E-05	472
473	4.73215E-05	1.4701E-09	4.73215E-05	473
474	0.000047421	1.4701E-09	0.000047421	474
475	0.00004752	1.4700E-09	0.00004752	475
476	0.000047619	1.4700E-09	0.000047619	476
477	4.77185E-05	1.4699E-09	4.77185E-05	477
478	4.78175E-05	1.4698E-09	4.78175E-05	478
479	0.000047917	1.4699E-09	0.000047917	479
480	0.000048016	1.4697E-09	0.000048016	480
481	0.000048115	1.4696E-09	0.000048115	481
482	4.82145E-05	1.4696E-09	4.82145E-05	482
483	4.83135E-05	1.4695E-09	4.83135E-05	483
484	0.000048413	1.4694E-09	0.000048413	484
485	0.000048512	1.4694E-09	0.000048512	485
486	0.000048611	1.4693E-09	0.000048611	486
487	4.87105E-05	1.4693E-09	4.87105E-05	487
488	4.88095E-05	1.4693E-09	4.88095E-05	488
489	0.000048909	1.4691E-09	0.000048909	489
490	0.000049008	1.4691E-09	0.000049008	490
491	0.000049107	1.4690E-09	0.000049107	491
492	4.92065E-05	1.4690E-09	4.92065E-05	492
493	4.93055E-05	1.4689E-09	4.93055E-05	493
494	0.000049405	1.4689E-09	0.000049405	494
495	0.000049504	1.4688E-09	0.000049504	495
496	0.000049603	1.4687E-09	0.000049603	496
497	4.97025E-05	1.4686E-09	4.97025E-05	497
498	4.98015E-05	1.4686E-09	4.98015E-05	498
499	0.000049901	1.4686E-09	0.000049901	499
500	0.00005	1.4685E-09	0.00005	500
